,GEO.id,zip_code,GEO.display-label,poulation,percent_employed,inc_<10k,inc_10-15k,inc_15-25k,median_inc,mean_inc,percent_no_health,percent_public_health
227,8600000US60510,60510,ZCTA5 60510,22140,71.1,4.9,3.8,6.7,90864,107586,6.3,19.1
228,8600000US60511,60511,ZCTA5 60511,1285,67.2,2.9,2.4,3.7,64602,84016,4.1,23.4
229,8600000US60512,60512,ZCTA5 60512,1206,72.9,16.7,0,2.3,67135,66090,10.5,40.7
230,8600000US60513,60513,ZCTA5 60513,15293,68.6,2.7,4.4,7.4,72653,81593,8.6,21.6
231,8600000US60514,60514,ZCTA5 60514,7839,64,3.3,2.7,7.9,95162,144901,4.9,19.8
232,8600000US60515,60515,ZCTA5 60515,22054,67.1,4.3,4,8.2,81383,115617,5.4,19.6
233,8600000US60516,60516,ZCTA5 60516,23091,70.4,3.4,3,4.1,85227,102273,5,20.4
234,8600000US60517,60517,ZCTA5 60517,26303,76.1,2.5,1.4,5.7,77001,96339,10,17.2
235,8600000US60518,60518,ZCTA5 60518,2928,66.9,9,6.6,6.7,51674,59191,9.8,32.9
236,8600000US60519,60519,ZCTA5 60519,0,-,-,-,-,-,-,-,-
237,8600000US60520,60520,ZCTA5 60520,2255,71.8,0.7,3.6,10.8,59323,73819,9.2,27
238,8600000US60521,60521,ZCTA5 60521,12716,59.7,2.6,1.9,5.2,158947,238237,2.8,15.8
239,8600000US60523,60523,ZCTA5 60523,8568,49.6,4.3,5.4,9.1,96591,157795,1.9,36.5
240,8600000US60525,60525,ZCTA5 60525,24444,63,3.9,3.7,7.8,74573,107440,8.2,24.5
241,8600000US60526,60526,ZCTA5 60526,10616,67.6,4.9,2.5,9.3,69198,97233,7.1,24.4
242,8600000US60527,60527,ZCTA5 60527,22358,66.3,2.8,3,7,72950,128377,8.5,26.2
243,8600000US60530,60530,ZCTA5 60530,466,71.5,2.1,0.9,10.6,59519,83209,16.4,29.1
244,8600000US60531,60531,ZCTA5 60531,1456,67,3.4,3.2,9.4,63125,76960,10.1,29.6
245,8600000US60532,60532,ZCTA5 60532,22283,73.1,4,2.8,5.6,72060,100560,9.8,18.6
246,8600000US60534,60534,ZCTA5 60534,8505,66.9,5,5,12.4,50842,58550,17.7,34.1
247,8600000US60536,60536,ZCTA5 60536,96,67.7,0,0,5.4,76875,96924,6.4,39.4
248,8600000US60537,60537,ZCTA5 60537,494,71.7,3.5,0,14.4,63594,70478,8.7,29
249,8600000US60538,60538,ZCTA5 60538,18841,75.5,2.8,3.2,7.2,71964,75045,8.1,21.6
250,8600000US60539,60539,ZCTA5 60539,188,22.9,-,-,-,-,-,58.5,41.5
251,8600000US60540,60540,ZCTA5 60540,33251,68.5,3.5,1.9,4.5,100612,128166,6.5,16
252,8600000US60541,60541,ZCTA5 60541,2407,68.7,2.4,2.9,6.1,76875,85427,10.5,19.2
253,8600000US60542,60542,ZCTA5 60542,12690,72.7,3.7,3.3,5.9,81383,93204,6.4,20.2
254,8600000US60543,60543,ZCTA5 60543,26575,75.9,2.4,0.7,4.3,91461,100946,6,15.1
255,8600000US60544,60544,ZCTA5 60544,18327,65.7,4.6,1.5,7.5,74603,85864,11,24.7
