,GEO.id,zip_code,GEO.display-label,total_population,percent_age_under_5,percent_age_5-9,percent_age_10-14,percent_age_15-19,percent_age_20-24,percent_age_25-34,percent_age_35-44,percent_age_45-54,percent_age_55-59,percent_age_60-64,percent_age_65-74,percent_age_75-84,percent_age85_and_over,percent_age_65_and_over,median_age
105,8600000US60154,60154,ZCTA5 60154,16804,6.5,5.1,4.4,4.8,4.5,11.3,10.8,15.2,7.3,7.6,10.2,7.7,4.5,22.5,47.5
106,8600000US60155,60155,ZCTA5 60155,7931,4.9,3.9,5.5,5.3,6.3,12.3,14.2,17.8,7,8.2,8.2,4.2,2.2,14.5,43.2
107,8600000US60156,60156,ZCTA5 60156,28886,6.7,9.6,8.8,7.6,4.4,12.5,18.1,17,5.5,3.7,3.6,1.9,0.5,6,35.2
108,8600000US60157,60157,ZCTA5 60157,2116,1.1,5.1,7.7,8.6,6.9,4.7,11.8,25,7.5,5,6.2,6.2,4.1,16.5,46.4
109,8600000US60160,60160,ZCTA5 60160,25459,9.9,7.7,8.9,6.9,8.3,15.2,15.3,10.2,4.6,3.7,4.9,2.9,1.4,9.2,30.5
110,8600000US60162,60162,ZCTA5 60162,8110,5.3,7.4,4,8.7,6,11.7,16.1,12.3,7,6.1,5.8,6.9,2.8,15.5,40.1
111,8600000US60163,60163,ZCTA5 60163,5218,4.3,6.8,8.3,8.3,4,12.2,13.8,19.3,6.4,5.3,5.7,4.3,1.2,11.2,39.5
112,8600000US60164,60164,ZCTA5 60164,22116,7.2,6.2,7,8.4,9,12.4,12.2,14.7,5.2,4.2,5.9,4.6,3,13.4,34.9
113,8600000US60165,60165,ZCTA5 60165,4947,11.1,10.5,6.7,8.8,6.2,18,16.9,9.7,2.8,3.2,4.4,1.2,0.5,6.1,28.7
114,8600000US60169,60169,ZCTA5 60169,34103,6.3,6.3,7.1,6.6,6,18.6,12.5,13.9,7.4,6,5.3,2.6,1.4,9.3,34.5
115,8600000US60171,60171,ZCTA5 60171,10300,7,3.7,6.1,4.8,7.1,18.1,12.9,11.6,7.1,6.5,9.9,2.8,2.4,15.1,37.3
116,8600000US60172,60172,ZCTA5 60172,24588,6.1,7.3,6.6,7.4,5.6,13.3,13.8,16.5,7.7,5.1,6.8,2.6,1.1,10.4,38.3
117,8600000US60173,60173,ZCTA5 60173,12143,6.4,4.2,5.1,4.1,8.3,30.6,14.6,11.3,4.7,4.1,4.8,1.3,0.5,6.6,30.9
118,8600000US60174,60174,ZCTA5 60174,31340,5.3,6,6.3,6.1,4.2,13.4,13.4,15.5,7.6,7.9,7.3,4.4,2.5,14.2,41.6
119,8600000US60175,60175,ZCTA5 60175,25836,3.9,7.5,10.7,8.7,5.3,7,14.1,18.9,9.4,4.8,6.4,2.6,0.6,9.7,40.8
120,8600000US60176,60176,ZCTA5 60176,11790,6,8.4,6.5,3.9,7.2,16.7,15.5,12.8,7.8,4.3,5.5,3.8,1.6,10.9,35.7
121,8600000US60177,60177,ZCTA5 60177,22705,7.5,7.8,11.2,8,3.8,11.8,19.6,15.3,5.6,3.1,3,2.2,1,6.2,34.9
122,8600000US60178,60178,ZCTA5 60178,22299,5.2,6.1,7,6.6,7.3,15.8,13.8,14.7,6.3,5.5,6.1,3.8,1.8,11.7,36.9
123,8600000US60180,60180,ZCTA5 60180,1293,3,3.3,8.5,7.1,5.7,9.2,7.3,14.8,13.7,2.9,12.8,9.4,2.2,24.4,49.8
124,8600000US60181,60181,ZCTA5 60181,28933,6.3,5.9,6.3,6.9,6.2,15.4,13.6,15.4,7.2,4.9,7,3.9,1,11.8,36.7
125,8600000US60184,60184,ZCTA5 60184,2536,2.9,6.2,7.8,7.6,4.5,7.8,9.2,21.6,11.4,7.8,10.6,1.7,0.9,13.1,47
126,8600000US60185,60185,ZCTA5 60185,35974,8.1,7.8,8,7.9,7.5,13.4,13.9,14,5.9,4.5,6.3,2,0.7,9,33.2
127,8600000US60187,60187,ZCTA5 60187,28660,5.1,6.1,7,10.8,9,11.6,11.6,15.5,5.6,4.8,5.7,4.4,2.7,12.8,35.3
128,8600000US60188,60188,ZCTA5 60188,42399,5.3,6.2,7.2,7.8,7.5,13.4,13.1,18.3,6.4,5.3,5,2.4,2,9.3,36.9
129,8600000US60189,60189,ZCTA5 60189,31344,5.9,6.7,6.4,7.8,6,11,11.9,17.4,8.3,7.2,6.9,3.2,1.3,11.4,41
130,8600000US60190,60190,ZCTA5 60190,10561,6.4,4.3,6.5,6.1,4,11.3,13.5,16.2,8.2,9.4,8.6,3.9,1.6,14.1,43.6
131,8600000US60191,60191,ZCTA5 60191,14358,6.1,6.1,7,5.9,5,11.5,13.1,17.3,6.1,4.6,9.9,5.7,1.8,17.3,41
132,8600000US60192,60192,ZCTA5 60192,16522,5.4,7.6,7.7,6.8,5.4,7.9,15.9,18.2,8.2,6.8,6.7,2.2,1.1,10,41
133,8600000US60193,60193,ZCTA5 60193,39883,6.5,5.3,4.8,5.2,4.9,14.8,13.6,15,8.1,7.3,8.3,4.6,1.6,14.5,42.1
134,8600000US60194,60194,ZCTA5 60194,20322,7.4,6.4,5.4,5.4,5,17,14,12.7,7.5,5.8,7.6,2.4,3.3,13.4,37.5
135,8600000US60195,60195,ZCTA5 60195,3810,7.9,2.4,1.5,2.4,8,39.7,15.2,5.1,6.9,4,3.4,2.4,0.9,6.7,30.9
136,8600000US60201,60201,ZCTA5 60201,42682,4.8,5.3,4.8,12.2,14.4,12.6,10.4,10.7,5.4,5.7,6.2,4.1,3.6,13.8,31
137,8600000US60202,60202,ZCTA5 60202,32255,7.5,6.8,5.4,5.6,4.6,15.9,16.9,15.2,6.7,5.3,6.1,2.7,1.4,10.2,38.1
138,8600000US60203,60203,ZCTA5 60203,4749,7.8,8,9.5,4.6,5.6,7.1,12,16.7,8.1,4,8.5,6.3,1.8,16.6,39.8
139,8600000US60301,60301,ZCTA5 60301,2229,7,1.5,4.4,3.5,2.1,21.6,11,14.5,4,11.7,9.8,3.7,5.3,18.8,44.7
140,8600000US60302,60302,ZCTA5 60302,32218,6.3,7.1,6.4,5.6,4.5,15,14.4,15.2,7.6,6.4,6.8,3.2,1.6,11.5,39.1
141,8600000US60304,60304,ZCTA5 60304,17455,7.6,7.6,7.5,6,4.8,12.1,17.8,16.4,5.6,6.2,4.7,2.9,0.8,8.5,37.7
142,8600000US60305,60305,ZCTA5 60305,11183,5.2,7.5,8.3,11.6,7.5,4.6,10.5,15.9,7.7,7.3,7.2,3.9,2.8,13.9,41.4
143,8600000US60401,60401,ZCTA5 60401,8012,4.1,6.2,9.1,7.8,5,7.3,11.8,17.6,6.2,6.1,9.1,6.6,3.1,18.8,44.2
144,8600000US60402,60402,ZCTA5 60402,64039,7.7,7.2,8,7.2,6.3,16,15.3,12.2,5.3,4.4,5.4,3.2,1.8,10.3,33.4
145,8600000US60403,60403,ZCTA5 60403,19634,6.1,5.9,5.9,5.6,5.5,16.8,15.7,12.8,5.2,5.3,8.6,4.9,1.7,15.2,37
146,8600000US60404,60404,ZCTA5 60404,17984,7,6.6,7.9,7,5.1,10.7,17.5,13.6,6.6,6.8,7.1,2.8,1.4,11.3,38.6
147,8600000US60406,60406,ZCTA5 60406,26021,7.7,8.7,8.9,7.2,6.9,14.5,13.2,12.2,6.9,4,5.3,3.5,1,9.8,32.6
148,8600000US60407,60407,ZCTA5 60407,1945,6.3,10.8,6.3,6.9,7.4,11.9,16.5,15.7,4.1,4.6,7.2,2.2,0.1,9.5,35.4
149,8600000US60408,60408,ZCTA5 60408,5501,5.2,6.4,8.2,7.9,3.6,10.9,15.7,18.5,7.8,5.8,6.6,2.7,0.6,9.9,40.5
